"time_seconds","time_minutes","time_hours","Q_m3_s"
0,0,0,0
5,0.0833333333333333,0.00138888888888889,3.35
10,0.166666666666667,0.00277777777777778,9.35
15,0.25,0.00416666666666667,16.94
20,0.333333333333333,0.00555555555555556,25.73
25,0.416666666666667,0.00694444444444444,35.48
30,0.5,0.00833333333333333,46.02
35,0.583333333333333,0.00972222222222222,57.21
40,0.666666666666667,0.0111111111111111,68.97
45,0.75,0.0125,81.2
50,0.833333333333333,0.0138888888888889,93.83
55,0.916666666666667,0.0152777777777778,106.81
60,1,0.0166666666666667,120.07
65,1.08333333333333,0.0180555555555556,133.58
70,1.16666666666667,0.0194444444444444,147.29
75,1.25,0.0208333333333333,161.17
80,1.33333333333333,0.0222222222222222,175.19
85,1.41666666666667,0.0236111111111111,189.3
90,1.5,0.025,203.49
95,1.58333333333333,0.0263888888888889,217.74
100,1.66666666666667,0.0277777777777778,232.01
105,1.75,0.0291666666666667,246.3
110,1.83333333333333,0.0305555555555556,260.57
115,1.91666666666667,0.0319444444444444,274.82
120,2,0.0333333333333333,289.03
125,2.08333333333333,0.0347222222222222,303.17
130,2.16666666666667,0.0361111111111111,317.25
135,2.25,0.0375,331.25
140,2.33333333333333,0.0388888888888889,345.15
145,2.41666666666667,0.0402777777777778,358.95
150,2.5,0.0416666666666667,372.63
155,2.58333333333333,0.0430555555555556,386.19
160,2.66666666666667,0.0444444444444444,399.62
165,2.75,0.0458333333333333,412.91
170,2.83333333333333,0.0472222222222222,426.05
175,2.91666666666667,0.0486111111111111,439.05
180,3,0.05,451.88
185,3.08333333333333,0.0513888888888889,464.56
190,3.16666666666667,0.0527777777777778,477.06
195,3.25,0.0541666666666667,489.39
200,3.33333333333333,0.0555555555555556,501.55
205,3.41666666666667,0.0569444444444444,513.52
210,3.5,0.0583333333333333,525.32
215,3.58333333333333,0.0597222222222222,536.92
220,3.66666666666667,0.0611111111111111,548.34
225,3.75,0.0625,559.57
230,3.83333333333333,0.0638888888888889,570.61
235,3.91666666666667,0.0652777777777778,581.44
240,4,0.0666666666666667,592.09
245,4.08333333333333,0.0680555555555555,602.53
250,4.16666666666667,0.0694444444444444,612.78
255,4.25,0.0708333333333333,622.83
260,4.33333333333333,0.0722222222222222,632.67
265,4.41666666666667,0.0736111111111111,642.32
270,4.5,0.075,651.77
275,4.58333333333333,0.0763888888888889,661.01
280,4.66666666666667,0.0777777777777778,670.05
285,4.75,0.0791666666666667,678.89
290,4.83333333333333,0.0805555555555556,687.53
295,4.91666666666667,0.0819444444444444,695.97
300,5,0.0833333333333333,704.21
305,5.08333333333333,0.0847222222222222,712.25
310,5.16666666666667,0.0861111111111111,720.1
315,5.25,0.0875,727.74
320,5.33333333333333,0.0888888888888889,735.19
325,5.41666666666667,0.0902777777777778,742.44
330,5.5,0.0916666666666667,749.5
335,5.58333333333333,0.0930555555555556,756.36
340,5.66666666666667,0.0944444444444444,763.03
345,5.75,0.0958333333333333,769.51
350,5.83333333333333,0.0972222222222222,775.8
355,5.91666666666667,0.0986111111111111,781.91
360,6,0.1,787.82
365,6.08333333333333,0.101388888888889,793.55
370,6.16666666666667,0.102777777777778,799.1
375,6.25,0.104166666666667,804.47
380,6.33333333333333,0.105555555555556,809.66
385,6.41666666666667,0.106944444444444,814.67
390,6.5,0.108333333333333,819.5
395,6.58333333333333,0.109722222222222,824.16
400,6.66666666666667,0.111111111111111,828.64
405,6.75,0.1125,832.95
410,6.83333333333333,0.113888888888889,837.1
415,6.91666666666667,0.115277777777778,841.08
420,7,0.116666666666667,844.89
425,7.08333333333333,0.118055555555556,848.54
430,7.16666666666667,0.119444444444444,852.03
435,7.25,0.120833333333333,855.36
440,7.33333333333333,0.122222222222222,858.53
445,7.41666666666667,0.123611111111111,861.55
450,7.5,0.125,864.41
455,7.58333333333333,0.126388888888889,867.13
460,7.66666666666667,0.127777777777778,869.69
