system:index,area_t00,area_t01,area_t02,area_t03,area_t04,name,.geo
0,1.435442668567045,0.17055404348500575,4.034896926879883E-4,0.0,0.0,Khurdupin,"{""type"":""Polygon"",""coordinates"":[[[75.425,36.05359773190297],[75.41878210533179,36.052881261682444],[75.4130594724304,36.05078891938436],[75.408287841098,36.04748735579257],[75.4048470841539,36.043239507364184],[75.40301095370816,36.03838362526708],[75.40292533183248,36.033306312374286],[75.40459670390555,36.02841172639894],[75.40789174540043,36.02408940784951],[75.41254802285289,36.020683294016514],[75.41819492969816,36.01846437877985],[75.42438317615648,36.01760918290427],[75.43062048905898,36.01818573568439],[75.43641069975246,36.02014817361952],[75.44129313890726,36.02334038176666],[75.44487923360978,36.027508390839564],[75.44688341611152,36.03232055247619],[75.4471458906875,36.037393899398914],[75.4456454353003,36.04232460437922],[75.44250119354933,36.04672012135975],[75.43796328223394,36.05023045142404],[75.43239293360152,36.05257603883626],[75.42623373680172,36.05357006535287],[75.425,36.05359773190297]]]}"
1,0.12984151188557944,0.018997321126242243,0.004258122131347656,0.0017675273742675782,0.0012855,Shishper,"{""type"":""Polygon"",""coordinates"":[[[74.5042,36.399098298927214],[74.49951592172071,36.39856097519753],[74.49520487765929,36.396991796243086],[74.49161015180259,36.39451572586337],[74.48901791351754,36.3913299344542],[74.48763442938436,36.38768808076637],[74.48756966800866,36.383880098898665],[74.4888285954653,36.38020910627613],[74.49131083895914,36.37696727487246],[74.49481872707439,36.37441258651378],[74.4990730508487,36.3727483187299],[74.50373528287207,36.37210688746284],[74.50843448764101,36.37253932539648],[74.51279679246431,36.37401122762574],[74.51647509034895,36.37640548493878],[74.51917662839384,36.379531588808334],[74.5206862985397,36.38314077268039],[74.5208837806084,36.386945791541024],[74.51975316669748,36.39064377224926],[74.51738428621464,36.393940320239565],[74.51396560774423,36.3965729643343],[74.50976926642105,36.39833207003249],[74.50512939940377,36.39907755015384],[74.5042,36.399098298927214]]]}"
2,0.6614827967762665,0.16173372764039884,0.006253147034349629,0.0017660520935058595,3.211029815673828E-4,Passu,"{""type"":""Polygon"",""coordinates"":[[[74.8881,36.46599829892723],[74.88341188298381,36.465460974973794],[74.87909712227031,36.463891795417936],[74.8754992981053,36.46141572424691],[74.8729048265777,36.45822993210356],[74.8715201517834,36.4545880779678],[74.87145533658565,36.45078009607818],[74.87271535071802,36.44710910386651],[74.87519973434902,36.44386727317824],[74.87871064542729,36.44131258561626],[74.88296863442528,36.43964831846184],[74.88763488256782,36.43900688746065],[74.8923381352581,36.43943932521363],[74.89670419819956,36.44091122687205],[74.90038566569149,36.443305483402135],[74.9030895326633,36.446431586520895],[74.9046005054559,36.450040769908554],[74.90479815970252,36.45384578870237],[74.9036665731718,36.457543769782305],[74.90129565213738,36.46084031846685],[74.89787402729925,36.46347296336173],[74.89367406835052,36.46523206971618],[74.88903020077178,36.46597755014505],[74.8881,36.46599829892723]]]}"
3,0.8237131728991046,0.009388167250868853,0.0,0.0,0.0,Karambar,"{""type"":""Polygon"",""coordinates"":[[[73.7022,36.806897731902964],[73.69592147379278,36.806181257203434],[73.69014304766044,36.804088902866965],[73.68532491082276,36.80078732343626],[73.68185063986841,36.79653946031317],[73.67999664960857,36.79168356925198],[73.67991023336633,36.786606255922194],[73.68159792723274,36.7817116781718],[73.68492509672441,36.777389373941546],[73.6896267453729,36.77398327605403],[73.69532865632402,36.77176437341504],[73.70157716920696,36.77090918286019],[73.70787522544622,36.77148573202474],[73.71372183340652,36.7734481585356],[73.71865184331153,36.776640351012794],[73.7222728982432,36.78080834505807],[73.72429664327531,36.785620496998085],[73.724561715542,36.790693842581874],[73.72304667375117,36.795624555000344],[73.71987181147995,36.800020085876035],[73.71528967666679,36.803530431955906],[73.70966502229768,36.805876032504436],[73.70344576744175,36.80687006517653],[73.7022,36.806897731902964]]]}"
