"lake_id","area_km2","length_km","districts","ghs","worldpop","mean_pop","ghs_wp","denom","pct_mean","pct_ghs"
"L01",108.8,54.4,"Chitral Lower 61% | Chitral Upper 39%",48728,19332,34030,2.52,271082,12.6,18
"L02",101.9,51,"Chitral Upper 80% | Chitral Lower 20%",59722,16679,38200,3.58,220966,17.3,27
"L03",104.7,52.3,"Chitral Upper 92% | Chitral Lower 8%",69136,16082,42609,4.3,205010,20.8,33.7
"L04",101.3,50.7,"Chitral Upper 100%",71728,15244,43486,4.71,195528,22.2,36.7
"L05",111.2,55.6,"Chitral Upper 100%",23033,7665,15349,3,195528,7.9,11.8
"L06",108.6,54.3,"Chitral Lower 100%",218139,41291,129715,5.28,320407,40.5,68.1
"L27",115.2,57.6,"Nagar 61% | Hunza 23% | Gilgit 16%",69380,18080,43730,3.84,100329,43.6,69.2
"L29",103.8,51.9,"Hunza 65% | Nagar 35%",61717,22187,41952,2.78,56918,73.7,108.4
