"hours","RL_outlet    ","RL_confluence"
0,0,0
0.0166666666666667,0,0
0.0333333333333333,0,0
0.05,0,0
0.0666666666666667,0,0
0.0833333333333333,0,0
0.1,0,0
0.116666666666667,0,0
0.133333333333333,0,0
0.15,0,0
0.166666666666667,0,0
0.183333333333333,0,0
0.2,0,0
0.216666666666667,0,0
0.233333333333333,0,0
0.25,0,0
0.266666666666667,0,0
0.283333333333333,0,0
0.3,0,0
0.316666666666667,0,0
0.333333333333333,0,1858.42138671875
0.35,0,5672.791015625
0.366666666666667,0,6781.31884765625
0.383333333333333,0,7846.623046875
0.4,0,8514.7099609375
0.416666666666667,0,8576.2314453125
0.433333333333333,0,8044.27197265625
0.45,0,7355.42529296875
0.466666666666667,0,7073.67626953125
0.483333333333333,0,6993.6259765625
0.5,0,6898.58837890625
0.516666666666667,0,6817.75830078125
0.533333333333333,0,6723.74462890625
0.55,0,6656.66259765625
0.566666666666667,0,6529.31298828125
0.583333333333333,0,6409.21240234375
0.6,0,6273.74755859375
0.616666666666667,0,6121.4248046875
0.633333333333333,0,5955.208984375
0.65,0,5779.40234375
0.666666666666667,0,5593.1044921875
0.683333333333333,0,5399.359375
0.7,0,5205.8486328125
0.716666666666667,0,5011.14208984375
0.733333333333333,0,4813.76904296875
0.75,0,4614.7451171875
0.766666666666667,0,4413.6513671875
0.783333333333333,0,4213.77685546875
0.8,0,4019.2431640625
0.816666666666667,0,3833.07250976562
0.833333333333333,0,3653.37915039062
0.85,0,3471.88623046875
0.866666666666667,0,3297.890625
0.883333333333333,0,3134.53295898438
0.9,0,2978.17211914062
0.916666666666667,0,2827.50537109375
0.933333333333333,0,2680.7392578125
0.95,0,2542.3583984375
0.966666666666667,0,2412.84936523438
0.983333333333333,0,2289.19921875
1,0,2171.2783203125
1.01666666666667,0,2057.12866210938
1.03333333333333,0,1949.4609375
1.05,0,1846.80432128906
1.06666666666667,0,1750.71826171875
1.08333333333333,0,1659.53210449219
1.1,0,1575.48889160156
1.11666666666667,0,1497.74768066406
1.13333333333333,0,1423.63842773438
1.15,0,1353.99450683594
1.16666666666667,0,1288.07861328125
1.18333333333333,0,1226.40869140625
1.2,0,1169.216796875
1.21666666666667,0,1115.18225097656
1.23333333333333,0,1063.53845214844
1.25,0,1015.38415527344
1.26666666666667,0,969.817749023438
1.28333333333333,0,927.340270996094
1.3,0,886.572631835938
1.31666666666667,0,847.008911132812
1.33333333333333,0,808.788330078125
1.35,0,772.902648925781
1.36666666666667,0,739.123840332031
1.38333333333333,0,707.29052734375
1.4,0,676.389099121094
1.41666666666667,0,647.591857910156
1.43333333333333,0,620.104736328125
1.45,0,594.516479492188
1.46666666666667,0,570.137573242188
1.48333333333333,0,547.014831542969
1.5,0,524.881225585938
1.51666666666667,0,504.087890625
1.53333333333333,0,484.010620117188
1.55,0,464.565093994141
1.56666666666667,0,446.028869628906
1.58333333333333,0,428.011871337891
1.6,0,410.755218505859
1.61666666666667,0,393.959197998047
1.63333333333333,0,378.109313964844
1.65,0,362.615600585938
1.66666666666667,0,347.97216796875
1.68333333333333,0,333.845733642578
1.7,0,320.111602783203
1.71666666666667,0,306.986846923828
1.73333333333333,0,294.235412597656
1.75,0,282.057800292969
1.76666666666667,0,270.199859619141
1.78333333333333,0,258.700317382812
1.8,0,247.7919921875
1.81666666666667,0,237.15934753418
1.83333333333333,0,227.210266113281
1.85,0,217.753860473633
1.86666666666667,0,208.833770751953
1.88333333333333,0,200.279144287109
1.9,0,192.592041015625
1.91666666666667,0,185.209335327148
1.93333333333333,0,178.181762695312
1.95,0,171.441131591797
1.96666666666667,0,164.86962890625
1.98333333333333,0,158.41455078125
2,0,152.054550170898
2.01666666666667,0,145.728302001953
2.03333333333333,0,139.513702392578
2.05,0,133.349365234375
2.06666666666667,0,127.389335632324
2.08333333333333,0,121.555198669434
2.1,0,115.674140930176
2.11666666666667,0,109.729827880859
2.13333333333333,0,103.990028381348
2.15,0,101.030700683594
2.16666666666667,0,99.2711944580078
2.18333333333333,0,97.7515335083008
2.2,0,96.2758026123047
2.21666666666667,0,94.8238906860352
2.23333333333333,0,93.3737564086914
2.25,0,91.9503936767578
2.26666666666667,0,90.5526275634766
2.28333333333333,0,89.1746978759766
