"time_seconds","time_minutes","time_hours","Q_m3_s"
0,0,0,0
5,0.0833333333333333,0.00138888888888889,41.02
10,0.166666666666667,0.00277777777777778,114.6
15,0.25,0.00416666666666667,207.97
20,0.333333333333333,0.00555555555555556,316.28
25,0.416666666666667,0.00694444444444444,436.64
30,0.5,0.00833333333333333,566.98
35,0.583333333333333,0.00972222222222222,705.78
40,0.666666666666667,0.0111111111111111,851.79
45,0.75,0.0125,1004.02
50,0.833333333333333,0.0138888888888889,1161.59
55,0.916666666666667,0.0152777777777778,1323.8
60,1,0.0166666666666667,1489.98
65,1.08333333333333,0.0180555555555556,1659.6
70,1.16666666666667,0.0194444444444444,1832.13
75,1.25,0.0208333333333333,2007.15
80,1.33333333333333,0.0222222222222222,2184.24
85,1.41666666666667,0.0236111111111111,2363.04
90,1.5,0.025,2543.23
95,1.58333333333333,0.0263888888888889,2724.49
100,1.66666666666667,0.0277777777777778,2906.54
105,1.75,0.0291666666666667,3089.15
110,1.83333333333333,0.0305555555555556,3272.06
115,1.91666666666667,0.0319444444444444,3455.07
120,2,0.0333333333333333,3637.98
125,2.08333333333333,0.0347222222222222,3820.59
130,2.16666666666667,0.0361111111111111,4002.75
135,2.25,0.0375,4184.29
140,2.33333333333333,0.0388888888888889,4365.07
145,2.41666666666667,0.0402777777777778,4544.95
150,2.5,0.0416666666666667,4723.8
155,2.58333333333333,0.0430555555555556,4901.51
160,2.66666666666667,0.0444444444444444,5077.97
165,2.75,0.0458333333333333,5253.08
170,2.83333333333333,0.0472222222222222,5426.74
175,2.91666666666667,0.0486111111111111,5598.87
180,3,0.05,5769.39
185,3.08333333333333,0.0513888888888889,5938.22
190,3.16666666666667,0.0527777777777778,6105.3
195,3.25,0.0541666666666667,6270.56
200,3.33333333333333,0.0555555555555556,6433.94
205,3.41666666666667,0.0569444444444444,6595.39
210,3.5,0.0583333333333333,6754.86
215,3.58333333333333,0.0597222222222222,6912.31
220,3.66666666666667,0.0611111111111111,7067.69
225,3.75,0.0625,7220.96
230,3.83333333333333,0.0638888888888889,7372.09
235,3.91666666666667,0.0652777777777778,7521.05
240,4,0.0666666666666667,7667.81
245,4.08333333333333,0.0680555555555555,7812.34
250,4.16666666666667,0.0694444444444444,7954.63
255,4.25,0.0708333333333333,8094.65
260,4.33333333333333,0.0722222222222222,8232.38
265,4.41666666666667,0.0736111111111111,8367.81
270,4.5,0.075,8500.93
275,4.58333333333333,0.0763888888888889,8631.73
280,4.66666666666667,0.0777777777777778,8760.19
285,4.75,0.0791666666666667,8886.31
290,4.83333333333333,0.0805555555555556,9010.09
295,4.91666666666667,0.0819444444444444,9131.51
300,5,0.0833333333333333,9250.59
305,5.08333333333333,0.0847222222222222,9367.31
310,5.16666666666667,0.0861111111111111,9481.68
315,5.25,0.0875,9593.71
320,5.33333333333333,0.0888888888888889,9703.39
325,5.41666666666667,0.0902777777777778,9810.73
330,5.5,0.0916666666666667,9915.74
335,5.58333333333333,0.0930555555555556,10018.41
340,5.66666666666667,0.0944444444444444,10118.77
345,5.75,0.0958333333333333,10216.83
350,5.83333333333333,0.0972222222222222,10312.58
355,5.91666666666667,0.0986111111111111,10406.04
360,6,0.1,10497.22
365,6.08333333333333,0.101388888888889,10586.14
370,6.16666666666667,0.102777777777778,10672.81
375,6.25,0.104166666666667,10757.24
380,6.33333333333333,0.105555555555556,10839.45
385,6.41666666666667,0.106944444444444,10919.44
390,6.5,0.108333333333333,10997.25
395,6.58333333333333,0.109722222222222,11072.88
400,6.66666666666667,0.111111111111111,11146.35
405,6.75,0.1125,11217.68
410,6.83333333333333,0.113888888888889,11286.88
415,6.91666666666667,0.115277777777778,11353.98
420,7,0.116666666666667,11418.99
425,7.08333333333333,0.118055555555556,11481.93
430,7.16666666666667,0.119444444444444,11542.82
435,7.25,0.120833333333333,11601.68
440,7.33333333333333,0.122222222222222,11658.53
445,7.41666666666667,0.123611111111111,11713.39
450,7.5,0.125,11766.28
455,7.58333333333333,0.126388888888889,11817.22
460,7.66666666666667,0.127777777777778,11866.23
465,7.75,0.129166666666667,11913.33
470,7.83333333333333,0.130555555555556,11958.54
475,7.91666666666667,0.131944444444444,12001.89
480,8,0.133333333333333,12043.39
485,8.08333333333333,0.134722222222222,12083.07
490,8.16666666666667,0.136111111111111,12120.95
495,8.25,0.1375,12157.05
500,8.33333333333333,0.138888888888889,12191.38
505,8.41666666666667,0.140277777777778,12223.99
510,8.5,0.141666666666667,12254.87
515,8.58333333333333,0.143055555555556,12284.07
520,8.66666666666667,0.144444444444444,12311.59
525,8.75,0.145833333333333,12337.46
530,8.83333333333333,0.147222222222222,12361.71
535,8.91666666666667,0.148611111111111,12384.34
540,9,0.15,12405.4
545,9.08333333333333,0.151388888888889,12424.89
550,9.16666666666667,0.152777777777778,12442.84
555,9.25,0.154166666666667,12459.28
560,9.33333333333333,0.155555555555556,12474.21
565,9.41666666666667,0.156944444444444,12487.68
570,9.5,0.158333333333333,12499.68
575,9.58333333333333,0.159722222222222,12510.26
580,9.66666666666667,0.161111111111111,12519.42
585,9.75,0.1625,12527.19
590,9.83333333333333,0.163888888888889,12533.6
595,9.91666666666667,0.165277777777778,12538.65
600,10,0.166666666666667,12542.39
605,10.0833333333333,0.168055555555556,12544.81
610,10.1666666666667,0.169444444444444,12545.95
615,10.25,0.170833333333333,12545.83
620,10.3333333333333,0.172222222222222,12544.46
625,10.4166666666667,0.173611111111111,12541.86
630,10.5,0.175,12538.07
635,10.5833333333333,0.176388888888889,12533.09
640,10.6666666666667,0.177777777777778,12526.95
645,10.75,0.179166666666667,12519.67
650,10.8333333333333,0.180555555555556,12511.26
655,10.9166666666667,0.181944444444444,12501.74
660,11,0.183333333333333,12491.15
665,11.0833333333333,0.184722222222222,12479.48
670,11.1666666666667,0.186111111111111,12466.78
675,11.25,0.1875,12453.04
680,11.3333333333333,0.188888888888889,12438.29
685,11.4166666666667,0.190277777777778,12422.56
690,11.5,0.191666666666667,12405.85
695,11.5833333333333,0.193055555555556,12388.19
700,11.6666666666667,0.194444444444444,12369.6
705,11.75,0.195833333333333,12350.09
710,11.8333333333333,0.197222222222222,12329.67
715,11.9166666666667,0.198611111111111,12308.38
720,12,0.2,12286.22
725,12.0833333333333,0.201388888888889,12263.22
730,12.1666666666667,0.202777777777778,12239.38
735,12.25,0.204166666666667,12214.73
740,12.3333333333333,0.205555555555556,12189.28
745,12.4166666666667,0.206944444444444,12163.06
750,12.5,0.208333333333333,12136.07
755,12.5833333333333,0.209722222222222,12108.33
760,12.6666666666667,0.211111111111111,12079.87
765,12.75,0.2125,12050.68
770,12.8333333333333,0.213888888888889,12020.8
775,12.9166666666667,0.215277777777778,11990.23
780,13,0.216666666666667,11958.99
785,13.0833333333333,0.218055555555556,11927.1
790,13.1666666666667,0.219444444444444,11894.57
795,13.25,0.220833333333333,11861.42
800,13.3333333333333,0.222222222222222,11827.66
805,13.4166666666667,0.223611111111111,11793.3
810,13.5,0.225,11758.36
815,13.5833333333333,0.226388888888889,11722.86
820,13.6666666666667,0.227777777777778,11686.8
825,13.75,0.229166666666667,11650.2
830,13.8333333333333,0.230555555555556,11613.08
835,13.9166666666667,0.231944444444444,11575.45
840,14,0.233333333333333,11537.32
845,14.0833333333333,0.234722222222222,11498.7
850,14.1666666666667,0.236111111111111,11459.61
855,14.25,0.2375,11420.06
860,14.3333333333333,0.238888888888889,11380.06
865,14.4166666666667,0.240277777777778,11339.63
870,14.5,0.241666666666667,11298.78
875,14.5833333333333,0.243055555555556,11257.51
880,14.6666666666667,0.244444444444444,11215.85
885,14.75,0.245833333333333,11173.8
890,14.8333333333333,0.247222222222222,11131.37
895,14.9166666666667,0.248611111111111,11088.58
900,15,0.25,11045.44
905,15.0833333333333,0.251388888888889,11001.95
910,15.1666666666667,0.252777777777778,10958.14
915,15.25,0.254166666666667,10914
920,15.3333333333333,0.255555555555556,10869.56
925,15.4166666666667,0.256944444444444,10824.82
930,15.5,0.258333333333333,10779.78
935,15.5833333333333,0.259722222222222,10734.48
940,15.6666666666667,0.261111111111111,10688.9
945,15.75,0.2625,10643.06
950,15.8333333333333,0.263888888888889,10596.98
955,15.9166666666667,0.265277777777778,10550.66
960,16,0.266666666666667,10504.11
965,16.0833333333333,0.268055555555556,10457.33
970,16.1666666666667,0.269444444444444,10410.35
975,16.25,0.270833333333333,10363.17
980,16.3333333333333,0.272222222222222,10315.79
985,16.4166666666667,0.273611111111111,10268.23
990,16.5,0.275,10220.49
995,16.5833333333333,0.276388888888889,10172.58
1000,16.6666666666667,0.277777777777778,10124.52
1005,16.75,0.279166666666667,10076.3
1010,16.8333333333333,0.280555555555556,10027.95
1015,16.9166666666667,0.281944444444444,9979.45
1020,17,0.283333333333333,9930.83
1025,17.0833333333333,0.284722222222222,9882.09
1030,17.1666666666667,0.286111111111111,9833.24
1035,17.25,0.2875,9784.29
1040,17.3333333333333,0.288888888888889,9735.24
1045,17.4166666666667,0.290277777777778,9686.09
1050,17.5,0.291666666666667,9636.87
1055,17.5833333333333,0.293055555555556,9587.57
1060,17.6666666666667,0.294444444444444,9538.2
1065,17.75,0.295833333333333,9488.77
1070,17.8333333333333,0.297222222222222,9439.28
1075,17.9166666666667,0.298611111111111,9389.74
1080,18,0.3,9340.16
1085,18.0833333333333,0.301388888888889,9290.54
1090,18.1666666666667,0.302777777777778,9240.89
1095,18.25,0.304166666666667,9191.22
1100,18.3333333333333,0.305555555555556,9141.53
1105,18.4166666666667,0.306944444444444,9091.82
1110,18.5,0.308333333333333,9042.11
1115,18.5833333333333,0.309722222222222,8992.39
1120,18.6666666666667,0.311111111111111,8942.68
1125,18.75,0.3125,8892.98
1130,18.8333333333333,0.313888888888889,8843.29
1135,18.9166666666667,0.315277777777778,8793.62
1140,19,0.316666666666667,8743.98
1145,19.0833333333333,0.318055555555556,8694.36
1150,19.1666666666667,0.319444444444444,8644.78
1155,19.25,0.320833333333333,8595.24
1160,19.3333333333333,0.322222222222222,8545.74
1165,19.4166666666667,0.323611111111111,8496.29
1170,19.5,0.325,8446.9
1175,19.5833333333333,0.326388888888889,8397.56
1180,19.6666666666667,0.327777777777778,8348.28
1185,19.75,0.329166666666667,8299.06
1190,19.8333333333333,0.330555555555556,8249.92
1195,19.9166666666667,0.331944444444444,8200.85
1200,20,0.333333333333333,8151.86
1205,20.0833333333333,0.334722222222222,8102.95
1210,20.1666666666667,0.336111111111111,8054.13
1215,20.25,0.3375,8005.39
1220,20.3333333333333,0.338888888888889,7956.75
1225,20.4166666666667,0.340277777777778,7908.2
1230,20.5,0.341666666666667,7859.76
1235,20.5833333333333,0.343055555555556,7811.41
1240,20.6666666666667,0.344444444444444,7763.18
1245,20.75,0.345833333333333,7715.05
1250,20.8333333333333,0.347222222222222,7667.04
1255,20.9166666666667,0.348611111111111,7619.14
1260,21,0.35,7571.36
1265,21.0833333333333,0.351388888888889,7523.7
1270,21.1666666666667,0.352777777777778,7476.17
1275,21.25,0.354166666666667,7428.77
1280,21.3333333333333,0.355555555555556,7381.49
1285,21.4166666666667,0.356944444444444,7334.35
1290,21.5,0.358333333333333,7287.34
1295,21.5833333333333,0.359722222222222,7240.48
1300,21.6666666666667,0.361111111111111,7193.75
1305,21.75,0.3625,7147.16
1310,21.8333333333333,0.363888888888889,7100.72
1315,21.9166666666667,0.365277777777778,7054.43
1320,22,0.366666666666667,7008.29
1325,22.0833333333333,0.368055555555556,6962.3
1330,22.1666666666667,0.369444444444444,6916.47
1335,22.25,0.370833333333333,6870.79
1340,22.3333333333333,0.372222222222222,6825.26
1345,22.4166666666667,0.373611111111111,6779.9
1350,22.5,0.375,6734.7
1355,22.5833333333333,0.376388888888889,6689.67
1360,22.6666666666667,0.377777777777778,6644.8
1365,22.75,0.379166666666667,6600.09
1370,22.8333333333333,0.380555555555556,6555.56
1375,22.9166666666667,0.381944444444444,6511.19
1380,23,0.383333333333333,6467
1385,23.0833333333333,0.384722222222222,6422.98
1390,23.1666666666667,0.386111111111111,6379.14
1395,23.25,0.3875,6335.47
1400,23.3333333333333,0.388888888888889,6291.98
1405,23.4166666666667,0.390277777777778,6248.67
1410,23.5,0.391666666666667,6205.54
1415,23.5833333333333,0.393055555555556,6162.59
1420,23.6666666666667,0.394444444444444,6119.83
1425,23.75,0.395833333333333,6077.24
1430,23.8333333333333,0.397222222222222,6034.84
1435,23.9166666666667,0.398611111111111,5992.63
1440,24,0.4,5950.61
1445,24.0833333333333,0.401388888888889,5908.77
1450,24.1666666666667,0.402777777777778,5867.12
1455,24.25,0.404166666666667,5825.66
1460,24.3333333333333,0.405555555555556,5784.39
1465,24.4166666666667,0.406944444444444,5743.32
1470,24.5,0.408333333333333,5702.43
1475,24.5833333333333,0.409722222222222,5661.74
1480,24.6666666666667,0.411111111111111,5621.24
1485,24.75,0.4125,5580.94
1490,24.8333333333333,0.413888888888889,5540.83
1495,24.9166666666667,0.415277777777778,5500.91
1500,25,0.416666666666667,5461.19
1505,25.0833333333333,0.418055555555556,5421.67
1510,25.1666666666667,0.419444444444444,5382.35
1515,25.25,0.420833333333333,5343.22
1520,25.3333333333333,0.422222222222222,5304.29
1525,25.4166666666667,0.423611111111111,5265.56
1530,25.5,0.425,5227.02
1535,25.5833333333333,0.426388888888889,5188.69
1540,25.6666666666667,0.427777777777778,5150.55
1545,25.75,0.429166666666667,5112.62
1550,25.8333333333333,0.430555555555556,5074.88
1555,25.9166666666667,0.431944444444444,5037.35
1560,26,0.433333333333333,5000.01
1565,26.0833333333333,0.434722222222222,4962.87
1570,26.1666666666667,0.436111111111111,4925.94
1575,26.25,0.4375,4889.2
1580,26.3333333333333,0.438888888888889,4852.67
1585,26.4166666666667,0.440277777777778,4816.33
1590,26.5,0.441666666666667,4780.2
1595,26.5833333333333,0.443055555555556,4744.27
1600,26.6666666666667,0.444444444444444,4708.54
1605,26.75,0.445833333333333,4673.01
1610,26.8333333333333,0.447222222222222,4637.68
1615,26.9166666666667,0.448611111111111,4602.55
1620,27,0.45,4567.62
1625,27.0833333333333,0.451388888888889,4532.89
1630,27.1666666666667,0.452777777777778,4498.36
1635,27.25,0.454166666666667,4464.03
1640,27.3333333333333,0.455555555555556,4429.9
1645,27.4166666666667,0.456944444444444,4395.97
1650,27.5,0.458333333333333,4362.24
1655,27.5833333333333,0.459722222222222,4328.71
1660,27.6666666666667,0.461111111111111,4295.38
1665,27.75,0.4625,4262.24
1670,27.8333333333333,0.463888888888889,4229.31
1675,27.9166666666667,0.465277777777778,4196.57
1680,28,0.466666666666667,4164.03
1685,28.0833333333333,0.468055555555556,4131.69
1690,28.1666666666667,0.469444444444444,4099.55
1695,28.25,0.470833333333333,4067.6
1700,28.3333333333333,0.472222222222222,4035.85
1705,28.4166666666667,0.473611111111111,4004.29
1710,28.5,0.475,3972.93
1715,28.5833333333333,0.476388888888889,3941.77
1720,28.6666666666667,0.477777777777778,3910.79
1725,28.75,0.479166666666667,3880.02
1730,28.8333333333333,0.480555555555556,3849.44
1735,28.9166666666667,0.481944444444444,3819.05
1740,29,0.483333333333333,3788.85
1745,29.0833333333333,0.484722222222222,3758.84
1750,29.1666666666667,0.486111111111111,3729.03
1755,29.25,0.4875,3699.41
1760,29.3333333333333,0.488888888888889,3669.98
1765,29.4166666666667,0.490277777777778,3640.74
1770,29.5,0.491666666666667,3611.69
1775,29.5833333333333,0.493055555555556,3582.82
1780,29.6666666666667,0.494444444444444,3554.15
1785,29.75,0.495833333333333,3525.66
1790,29.8333333333333,0.497222222222222,3497.36
1795,29.9166666666667,0.498611111111111,3469.25
1800,30,0.5,3441.32
1805,30.0833333333333,0.501388888888889,3413.58
1810,30.1666666666667,0.502777777777778,3386.02
1815,30.25,0.504166666666667,3358.65
1820,30.3333333333333,0.505555555555556,3331.46
1825,30.4166666666667,0.506944444444444,3304.45
1830,30.5,0.508333333333333,3277.63
1835,30.5833333333333,0.509722222222222,3250.99
1840,30.6666666666667,0.511111111111111,3224.52
1845,30.75,0.5125,3198.24
1850,30.8333333333333,0.513888888888889,3172.14
1855,30.9166666666667,0.515277777777778,3146.21
1860,31,0.516666666666667,3120.46
1865,31.0833333333333,0.518055555555556,3094.89
1870,31.1666666666667,0.519444444444444,3069.5
1875,31.25,0.520833333333333,3044.28
1880,31.3333333333333,0.522222222222222,3019.24
1885,31.4166666666667,0.523611111111111,2994.37
1890,31.5,0.525,2969.68
1895,31.5833333333333,0.526388888888889,2945.15
1900,31.6666666666667,0.527777777777778,2920.8
1905,31.75,0.529166666666667,2896.62
1910,31.8333333333333,0.530555555555556,2872.61
1915,31.9166666666667,0.531944444444444,2848.78
1920,32,0.533333333333333,2825.11
1925,32.0833333333333,0.534722222222222,2801.6
1930,32.1666666666667,0.536111111111111,2778.27
1935,32.25,0.5375,2755.1
1940,32.3333333333333,0.538888888888889,2732.1
1945,32.4166666666667,0.540277777777778,2709.26
1950,32.5,0.541666666666667,2686.59
1955,32.5833333333333,0.543055555555556,2664.08
1960,32.6666666666667,0.544444444444444,2641.73
1965,32.75,0.545833333333333,2619.55
1970,32.8333333333333,0.547222222222222,2597.53
1975,32.9166666666667,0.548611111111111,2575.66
1980,33,0.55,2553.96
1985,33.0833333333333,0.551388888888889,2532.41
1990,33.1666666666667,0.552777777777778,2511.03
1995,33.25,0.554166666666667,2489.8
2000,33.3333333333333,0.555555555555556,2468.72
2005,33.4166666666667,0.556944444444444,2447.8
2010,33.5,0.558333333333333,2427.04
2015,33.5833333333333,0.559722222222222,2406.43
2020,33.6666666666667,0.561111111111111,2385.97
2025,33.75,0.5625,2365.67
2030,33.8333333333333,0.563888888888889,2345.51
2035,33.9166666666667,0.565277777777778,2325.51
2040,34,0.566666666666667,2305.66
2045,34.0833333333333,0.568055555555556,2285.95
2050,34.1666666666667,0.569444444444444,2266.39
2055,34.25,0.570833333333333,2246.99
2060,34.3333333333333,0.572222222222222,2227.72
2065,34.4166666666667,0.573611111111111,2208.61
2070,34.5,0.575,2189.63
