"time_seconds","time_minutes","time_hours","Q_m3_s"
0,0,0,0
5,0.0833333333333333,0.00138888888888889,37.92
10,0.166666666666667,0.00277777777777778,106.16
15,0.25,0.00416666666666667,193
20,0.333333333333333,0.00555555555555556,294.06
25,0.416666666666667,0.00694444444444444,406.7
30,0.5,0.00833333333333333,529.09
35,0.583333333333333,0.00972222222222222,659.82
40,0.666666666666667,0.0111111111111111,797.79
45,0.75,0.0125,942.09
50,0.833333333333333,0.0138888888888889,1091.95
55,0.916666666666667,0.0152777777777778,1246.72
60,1,0.0166666666666667,1405.82
65,1.08333333333333,0.0180555555555556,1568.73
70,1.16666666666667,0.0194444444444444,1735.01
75,1.25,0.0208333333333333,1904.24
80,1.33333333333333,0.0222222222222222,2076.07
85,1.41666666666667,0.0236111111111111,2250.15
90,1.5,0.025,2426.18
95,1.58333333333333,0.0263888888888889,2603.87
100,1.66666666666667,0.0277777777777778,2782.98
105,1.75,0.0291666666666667,2963.27
110,1.83333333333333,0.0305555555555556,3144.5
115,1.91666666666667,0.0319444444444444,3326.49
120,2,0.0333333333333333,3509.03
125,2.08333333333333,0.0347222222222222,3691.95
130,2.16666666666667,0.0361111111111111,3875.09
135,2.25,0.0375,4058.3
140,2.33333333333333,0.0388888888888889,4241.42
145,2.41666666666667,0.0402777777777778,4424.33
150,2.5,0.0416666666666667,4606.9
155,2.58333333333333,0.0430555555555556,4789
160,2.66666666666667,0.0444444444444444,4970.54
165,2.75,0.0458333333333333,5151.41
170,2.83333333333333,0.0472222222222222,5331.5
175,2.91666666666667,0.0486111111111111,5510.73
180,3,0.05,5689.01
185,3.08333333333333,0.0513888888888889,5866.27
190,3.16666666666667,0.0527777777777778,6042.42
195,3.25,0.0541666666666667,6217.39
200,3.33333333333333,0.0555555555555556,6391.13
205,3.41666666666667,0.0569444444444444,6563.56
210,3.5,0.0583333333333333,6734.63
215,3.58333333333333,0.0597222222222222,6904.28
220,3.66666666666667,0.0611111111111111,7072.47
225,3.75,0.0625,7239.14
230,3.83333333333333,0.0638888888888889,7404.25
235,3.91666666666667,0.0652777777777778,7567.76
240,4,0.0666666666666667,7729.62
245,4.08333333333333,0.0680555555555555,7889.81
250,4.16666666666667,0.0694444444444444,8048.29
255,4.25,0.0708333333333333,8205.03
260,4.33333333333333,0.0722222222222222,8359.99
265,4.41666666666667,0.0736111111111111,8513.16
270,4.5,0.075,8664.5
275,4.58333333333333,0.0763888888888889,8814
280,4.66666666666667,0.0777777777777778,8961.63
285,4.75,0.0791666666666667,9107.38
290,4.83333333333333,0.0805555555555556,9251.23
295,4.91666666666667,0.0819444444444444,9393.16
300,5,0.0833333333333333,9533.15
305,5.08333333333333,0.0847222222222222,9671.2
310,5.16666666666667,0.0861111111111111,9807.3
315,5.25,0.0875,9941.43
320,5.33333333333333,0.0888888888888889,10073.58
325,5.41666666666667,0.0902777777777778,10203.76
330,5.5,0.0916666666666667,10331.95
335,5.58333333333333,0.0930555555555556,10458.14
340,5.66666666666667,0.0944444444444444,10582.34
345,5.75,0.0958333333333333,10704.54
350,5.83333333333333,0.0972222222222222,10824.74
355,5.91666666666667,0.0986111111111111,10942.94
360,6,0.1,11059.14
365,6.08333333333333,0.101388888888889,11173.34
370,6.16666666666667,0.102777777777778,11285.55
375,6.25,0.104166666666667,11395.75
380,6.33333333333333,0.105555555555556,11503.97
385,6.41666666666667,0.106944444444444,11610.19
390,6.5,0.108333333333333,11714.43
395,6.58333333333333,0.109722222222222,11816.7
400,6.66666666666667,0.111111111111111,11916.99
405,6.75,0.1125,12015.32
410,6.83333333333333,0.113888888888889,12111.68
415,6.91666666666667,0.115277777777778,12206.1
