"dropped","top1","top2","top1_score","top2_score"
"L15","L29","L27",0.897601396785128,0.800095275155512
"L29","L27","L02",0.800095275155512,0.68437063261391
"L25","L29","L27",0.897601396785128,0.800095275155512
"L24","L29","L27",0.897601396785128,0.800095275155512
"L28","L29","L27",0.897601396785128,0.800095275155512
"L01","L29","L27",0.897601396785128,0.800095275155512
"L02","L29","L27",0.897601396785128,0.800095275155512
"L03","L29","L27",0.897601396785128,0.800095275155512
"L04","L29","L27",0.897601396785128,0.800095275155512
"L05","L29","L27",0.897601396785128,0.800095275155512
"L06","L29","L27",0.946537274376214,0.851900560225565
"L19","L29","L27",0.897601396785128,0.800095275155512
"L20","L29","L27",0.897601396785128,0.800095275155512
"L21","L29","L27",0.804073389946366,0.722741046552991
"L22","L29","L27",0.897601396785128,0.800095275155512
"L26","L29","L27",0.897601396785128,0.800095275155512
"L27","L29","L02",0.907638023519468,0.689168799563725
